Date,WordCount,Project,Genre,Event,Goal
2021-11-01,10094,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-02,5151,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-03,3084,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-04,5039,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-05,5690,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-06,11021,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-07,10044,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-08,2071,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-09,2051,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-10,4805,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-11,2505,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-12,2458,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-13,3696,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-14,1931,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-15,1763,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-16,4013,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-17,1686,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-18,1846,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-19,2092,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-20,3618,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-21,2511,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-22,1729,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-23,1778,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-24,1668,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-25,1705,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-26,3125,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-27,2957,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-28,1681,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-29,1866,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-11-30,1697,TPOP Book 3: The Magnetism of Madness,Science Fiction,NaNoWriMo 2021,"50,000 WORDS"
2021-07-01,298,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-02,658,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-03,1787,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-04,562,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-05,657,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-07,1044,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-08,169,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-09,856,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-10,2897,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-11,1955,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-14,474,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-19,1431,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-23,1066,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-25,604,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-07-29,726,The Physics of Phantoms (Rewrite),Science Fiction,Camp NaNoWriMo July 2021,"20,000 WORDS"
2021-04-01,2725,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-02,774,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-03,1773,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-04,904,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-05,1040,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-06,1062,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-07,936,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-08,696,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-09,1462,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-10,1243,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-11,242,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-12,433,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-13,333,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-14,112,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-16,395,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2021-04-30,6058,Remnants of a Wasted Youth,Mainstream,Camp NaNoWriMo April 2021,"20,000 WORDS"
2020-11-01,5009,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-02,1357,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-03,3677,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-04,1183,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-05,1493,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-06,3036,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-07,1325,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-08,3924,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-09,1292,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-10,2785,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-11,1440,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-12,1623,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-13,1870,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-14,703,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-15,1006,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-16,4678,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-17,1650,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-18,2055,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-19,1266,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-20,751,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-21,2904,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-22,4994,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-23,992,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-24,2125,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-25,434,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-26,2446,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-27,3383,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-28,2602,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-29,1378,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-11-30,4144,TPOP Book 2: The Dynamics of Deception,Science Fiction,NaNoWriMo 2020,"50,000 WORDS"
2020-04-01,589,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-02,618,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-03,892,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-04,550,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-07,548,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-12,442,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-14,197,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-19,1019,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-20,714,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
2020-04-21,886,Perfect Darkness,Mystery,Camp NaNoWriMo April 2020,"25,000 WORDS"
